"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.184793500E0,-2.581429482E-2,-1.883890629E-1,5.598757863E-1
2.194746500E0,1.311179996E-2,-7.385975681E-3,6.240800619E-1
2.204700500E0,4.965938162E-3,1.453440040E-1,6.489847302E-1
2.214654500E0,5.823743064E-3,2.175052911E-1,7.003152966E-1
2.224607500E0,-8.061742410E-3,1.679261178E-1,7.509002686E-1
2.234561500E0,-2.836914547E-2,7.288615406E-2,7.539392114E-1
2.244515500E0,-3.485321999E-2,-4.309767485E-2,7.399488688E-1
2.254469500E0,1.860760897E-2,-1.602059156E-1,7.866908312E-1
2.264422500E0,6.069895998E-2,-2.621582747E-1,7.949267626E-1
2.274376500E0,6.191070005E-2,-2.874689698E-1,7.067041993E-1
2.284330500E0,6.249216571E-2,-1.905230880E-1,5.807667375E-1
2.294283500E0,6.075472012E-2,-6.357845664E-2,4.955857694E-1
2.304237500E0,3.472893685E-2,-1.654838026E-2,4.862813354E-1
2.314191500E0,1.545590721E-2,6.625089794E-2,5.308123231E-1
2.324144500E0,1.975704450E-3,5.974871665E-2,5.704840422E-1
2.334098500E0,-1.423389278E-2,2.274569124E-2,5.577378869E-1
2.344052500E0,1.482547075E-2,-5.983321369E-2,5.481754541E-1
2.354006500E0,4.473410174E-2,-1.377865970E-1,5.264368653E-1
2.363959500E0,6.254448742E-2,-2.113055140E-1,4.748149216E-1
2.373913500E0,7.693780959E-2,-2.612192631E-1,4.031122625E-1
2.383867500E0,7.915129513E-2,-2.392890900E-1,3.551476002E-1
2.393820500E0,7.660744339E-2,-1.637477279E-1,3.534668684E-1
2.403774500E0,7.899141312E-2,-8.063004166E-2,3.760128319E-1
2.413728500E0,6.180177256E-2,-8.213096298E-3,4.195736349E-1
2.423681500E0,3.532307968E-2,4.466830939E-2,4.587447047E-1
2.433635500E0,3.219945729E-2,5.130117759E-2,5.017107725E-1
2.443589500E0,4.783554375E-2,2.322122641E-2,5.269454122E-1
2.453543500E0,6.546939909E-2,-4.359801859E-2,5.112031698E-1
2.463496500E0,7.712981105E-2,-1.291694194E-1,4.465861022E-1
2.473450500E0,8.323670924E-2,-2.113401890E-1,3.742285371E-1
2.483404500E0,7.531740516E-2,-2.770088315E-1,3.157513142E-1
2.493357500E0,4.866874963E-2,-2.735011876E-1,2.996234894E-1
2.503311500E0,7.035115734E-3,-1.675692350E-1,3.469188809E-1
2.513265500E0,6.118455902E-3,-2.472446114E-2,4.259228706E-1
2.523219500E0,1.867365465E-2,1.158496365E-1,5.338111520E-1
2.533172500E0,3.361159191E-2,2.079966068E-1,6.176086068E-1
2.543126500E0,5.558250472E-2,2.414031923E-1,6.697460413E-1
2.553080500E0,6.911802292E-2,2.112402320E-1,6.890015006E-1
2.563033500E0,7.081288099E-2,1.590208560E-1,6.603559256E-1
2.572987500E0,9.359729290E-2,8.735785633E-2,6.069560647E-1
2.582941500E0,1.149820983E-1,-8.319499902E-4,5.343166590E-1
2.592895500E0,1.162785217E-1,-9.928874671E-2,4.554401934E-1
2.602848500E0,1.018228829E-1,-1.810679287E-1,3.994671404E-1
2.612802500E0,8.794808388E-2,-1.824535728E-1,3.762454391E-1
2.622756500E0,7.959982753E-2,-7.788141072E-2,4.048779309E-1
2.632709500E0,9.211428463E-2,7.181593776E-2,4.924644828E-1
2.642663500E0,1.071112454E-1,1.873042136E-1,5.984892249E-1
2.652617500E0,1.045319736E-1,2.225202620E-1,6.572036147E-1
2.662570500E0,1.014889330E-1,1.817912608E-1,6.883285046E-1
2.672524500E0,1.289203018E-1,7.129643112E-2,6.143251061E-1
2.682478500E0,1.687986404E-1,-4.141563177E-2,4.725805521E-1
2.692432500E0,1.395861506E-1,-1.280208230E-1,4.192478359E-1
2.702385500E0,1.448545903E-1,-1.975882798E-1,3.969962299E-1
2.712339500E0,1.752638966E-1,-1.760161370E-1,3.328337669E-1
2.722293500E0,1.861666143E-1,-1.055366546E-1,3.012518585E-1
2.732246500E0,1.599161029E-1,-3.083578683E-2,3.209424913E-1
2.742200500E0,1.349990517E-1,4.224494472E-2,3.492611349E-1
