"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.503618208E0,-2.730487883E-1,2.632021904E-1,5.094170570E0
2.513572208E0,-2.851848304E-1,3.720338643E-1,4.796298504E0
2.523527208E0,-3.104108870E-1,4.801120162E-1,4.373710632E0
2.533481208E0,-3.331153989E-1,5.560911894E-1,3.817559481E0
2.543435208E0,-3.519054651E-1,4.085497260E-1,3.252343416E0
2.553389208E0,-3.044596612E-1,1.482374817E-1,2.785065413E0
2.563343208E0,-2.105683088E-1,-1.133447960E-1,2.359771490E0
2.573298208E0,-1.352139115E-1,-3.378023803E-1,1.950437546E0
2.583252208E0,-1.019856632E-1,-5.097380877E-1,1.571621537E0
2.593206208E0,-9.960879385E-2,-6.420114040E-1,1.224357486E0
2.603160208E0,-9.849691391E-2,-7.458798885E-1,8.862323165E-1
2.613115208E0,-9.084964544E-2,-7.722702026E-1,5.268448591E-1
2.623069208E0,-9.605068713E-2,-7.334505916E-1,1.687789559E-1
2.633023208E0,-1.368194222E-1,-6.675357819E-1,-1.454458237E-1
2.642977208E0,-2.694178224E-1,-7.205597758E-1,-3.955232203E-1
2.652932208E0,-4.027417898E-1,-6.950179338E-1,-6.586626768E-1
2.662886208E0,-4.744626880E-1,-5.708350539E-1,-9.215346575E-1
2.672840208E0,-4.863622189E-1,-3.865323067E-1,-1.205482721E0
2.682794208E0,-4.675745964E-1,-1.928883046E-1,-1.504974604E0
2.692748208E0,-4.560801387E-1,-6.354735792E-2,-1.773068070E0
2.702703208E0,-4.438219965E-1,2.885598503E-2,-1.999170661E0
2.712657208E0,-4.507004023E-1,1.408448368E-1,-2.199974060E0
2.722611208E0,-4.891533256E-1,2.686142325E-1,-2.384185076E0
2.732565208E0,-5.732093453E-1,3.956725895E-1,-2.560480595E0
2.742520208E0,-7.046611309E-1,4.876281917E-1,-2.738023043E0
2.752474208E0,-8.700191975E-1,5.224822760E-1,-2.933561087E0
2.762428208E0,-1.065202117E0,4.788292646E-1,-3.152148485E0
2.772382208E0,-1.259405375E0,3.710439503E-1,-3.390907049E0
2.782337208E0,-1.423743725E0,2.033730149E-1,-3.655307770E0
2.792291208E0,-1.557858348E0,-1.398619264E-2,-3.924788237E0
2.802245208E0,-1.625807047E0,-2.494449168E-1,-4.190228939E0
2.812199208E0,-1.646031618E0,-4.415613711E-1,-4.448921680E0
2.822153208E0,-1.621813893E0,-6.059645414E-1,-4.687749386E0
2.832108208E0,-1.574048519E0,-7.387374640E-1,-4.895339012E0
2.842062208E0,-1.497140288E0,-8.376528621E-1,-5.066805363E0
2.852016208E0,-1.404080391E0,-8.841412663E-1,-5.197031021E0
2.861970208E0,-1.305429816E0,-8.949853182E-1,-5.275137424E0
2.871925208E0,-1.212301254E0,-8.852149844E-1,-5.296175003E0
2.881879208E0,-1.146544814E0,-8.416568637E-1,-5.282628536E0
2.891833208E0,-1.122014165E0,-8.167336583E-1,-5.272698879E0
2.901787208E0,-1.127305388E0,-8.383787870E-1,-5.294446945E0
2.911742208E0,-1.123171568E0,-8.777589202E-1,-5.373723984E0
2.921696208E0,-1.084321737E0,-9.097443223E-1,-5.512441635E0
2.931650208E0,-9.953622818E-1,-8.970956802E-1,-5.662223339E0
2.941604208E0,-8.933762312E-1,-8.367778659E-1,-5.794282436E0
2.951558208E0,-7.826526761E-1,-7.240132093E-1,-5.874084949E0
2.961513208E0,-6.483770609E-1,-5.445433855E-1,-5.871356964E0
2.971467208E0,-4.790540934E-1,-3.122325838E-1,-5.768959045E0
2.981421208E0,-2.513347864E-1,-5.842864513E-2,-5.574303150E0
2.991375208E0,2.477934770E-2,1.949018836E-1,-5.318675995E0
3.001330208E0,3.157708049E-1,4.414005578E-1,-5.054615498E0
3.011284208E0,5.836389661E-1,7.012606263E-1,-4.786926746E0
3.021238208E0,8.166210651E-1,9.413595796E-1,-4.497787476E0
3.031192208E0,9.871605635E-1,1.095147014E0,-4.121531010E0
3.041147208E0,1.063300967E0,1.119309068E0,-3.625206232E0
3.051101208E0,1.033999443E0,9.782014489E-1,-2.977622032E0
3.061055208E0,8.764652014E-1,6.959884763E-1,-2.219191551E0
3.071009208E0,5.793842673E-1,2.719493508E-1,-1.448042393E0
3.080963208E0,1.085737646E-1,-2.744153142E-1,-7.822901607E-1
3.090918208E0,-4.546293914E-1,-8.376299143E-1,-3.101194203E-1
3.100872208E0,-9.584435225E-1,-1.428123951E0,-6.867264211E-2
3.110826208E0,-1.294053555E0,-2.008461714E0,-9.644035995E-2
3.120780208E0,-1.415651321E0,-2.499681950E0,-3.780970573E-1
3.130735208E0,-1.344791770E0,-2.785455704E0,-8.534588218E-1
3.140689208E0,-1.168320894E0,-2.801992416E0,-1.413531780E0
3.150643208E0,-9.931759238E-1,-2.632672548E0,-1.804823399E0
3.160597208E0,-8.812937737E-1,-2.293849468E0,-1.824218631E0
3.170551208E0,-7.658880949E-1,-1.819147944E0,-1.392353296E0
3.180506208E0,-5.730029345E-1,-1.246263027E0,-6.433812976E-1
3.190460208E0,-2.509636581E-1,-6.438089609E-1,2.435629070E-1
3.200414208E0,2.042846978E-1,-5.870668590E-2,1.105408549E0
3.210368208E0,7.320337296E-1,4.184960723E-1,1.848920584E0
3.220322958E0,1.230543017E0,7.619019151E-1,2.451847315E0
3.230276958E0,1.613831997E0,1.045057654E0,2.952766180E0
3.240230958E0,1.847246408E0,1.268583775E0,3.395731449E0
3.250184958E0,1.937435508E0,1.462481499E0,3.761172533E0
3.260139958E0,1.860139489E0,1.628312469E0,4.047319412E0
3.270093958E0,1.597396851E0,1.747661591E0,4.298658848E0
3.280047958E0,1.195514202E0,1.825200438E0,4.552033424E0
3.290001958E0,7.325289845E-1,1.870493650E0,4.808329582E0
3.299955958E0,3.068151474E-1,1.918269515E0,5.083472729E0
3.309910958E0,-2.062238753E-2,1.927361369E0,5.365767479E0
3.319864958E0,-2.475283742E-1,1.969614983E0,5.634230614E0
3.329818958E0,-3.374628127E-1,2.022433996E0,5.891681194E0
3.339772958E0,-2.792442739E-1,2.061092615E0,6.113753796E0
3.349727958E0,-8.732914925E-2,2.134024620E0,6.205172539E0
3.359681958E0,2.050359398E-1,2.253702641E0,6.121049881E0
3.369635958E0,5.550144315E-1,2.349038363E0,5.830705643E0
3.379589958E0,8.822970390E-1,2.299110174E0,5.464607716E0
3.389543958E0,1.081879258E0,2.101050138E0,5.170105934E0
3.399498958E0,1.112131596E0,1.781525016E0,5.029195309E0
3.409452958E0,9.832881689E-1,1.367626071E0,5.040150642E0
3.419406958E0,7.772045135E-1,9.238845706E-1,5.131620407E0
3.429360958E0,5.748471022E-1,5.169389248E-1,5.218458652E0
3.439315958E0,3.873510957E-1,2.554084659E-1,5.250251293E0
3.449269958E0,2.004653662E-1,1.188343987E-1,5.210175991E0
3.459223958E0,-3.830264322E-3,8.691740036E-2,5.120314121E0
3.469177958E0,-2.102015465E-1,1.092509329E-1,4.986914635E0
3.479131958E0,-3.812905550E-1,1.475097537E-1,4.827103615E0
3.489086958E0,-4.800019562E-1,2.215456218E-1,4.656271935E0
3.499040958E0,-5.451146960E-1,3.360562921E-1,4.460435867E0
3.508994958E0,-5.875955820E-1,4.613548219E-1,4.225619316E0
3.518948958E0,-6.177983284E-1,5.605651140E-1,3.969037294E0
3.528903958E0,-6.509274840E-1,6.181290746E-1,3.700629711E0
3.538857958E0,-6.962822676E-1,6.089459062E-1,3.419162512E0
3.548811958E0,-7.762525082E-1,5.187366605E-1,3.141172171E0
3.558765958E0,-8.266397119E-1,3.965410888E-1,2.878813267E0
3.568720958E0,-7.995942831E-1,2.602453232E-1,2.613288641E0
3.578674958E0,-6.881159544E-1,1.128330752E-1,2.347856998E0
3.588628958E0,-5.057354569E-1,-1.427853853E-2,2.071944237E0
3.598582958E0,-2.870047390E-1,-1.092188209E-1,1.790802360E0
3.608536958E0,-5.638002232E-2,-1.679518968E-1,1.504744768E0
3.618491958E0,1.674663424E-1,-1.903105080E-1,1.227125883E0
3.628445958E0,3.639852405E-1,-1.787691712E-1,9.699091315E-1
3.638399958E0,5.307021737E-1,-1.605183482E-1,7.219065428E-1
3.648353958E0,6.517707705E-1,-1.367967874E-1,4.649221599E-1
3.658307958E0,7.181732655E-1,-1.136983857E-1,2.386669219E-1
3.668262958E0,7.274599671E-1,-9.584162384E-2,3.724432364E-2
3.678216958E0,6.566962004E-1,-9.909010679E-2,-1.774789244E-1
3.688170958E0,5.206278563E-1,-1.168017238E-1,-4.195014238E-1
3.698124958E0,3.216615617E-1,-1.495824307E-1,-6.643200517E-1
